Chr	Start	End	Strand	Length
FBgn0031093	X;X	20168042;20169474	20169416;20169981	-;-	1883
FBgn0031090	X;X;X;X	20155766;20157970;20158339;20158896	20157836;20158269;20158528;20159872	-;-;-;-	3538
FBgn0030759	X	16587873	16588930	+	1058
FBgn0061200	X;X;X;X;X;X;X;X	16599241;16600380;16600954;16601376;16605850;16606862;16607933;16609005	16600313;16600895;16601198;16605786;16606008;16606999;16608000;16610459	+;+;+;+;+;+;+;+	8065
FBgn0025743	X;X;X	16610685;16612434;16613538	16612362;16612705;16614856	+;+;+	3269
FBgn0030763	X;X;X	16615028;16615830;16621330	16615658;16616344;16621589	-;-;-	1406
FBgn0030761	X;X	16595136;16599153	16598496;16599215	-;-	3424
FBgn0015615	X;X;X;X;X	16588996;16589627;16592944;16593160;16593352	16589552;16592746;16593083;16593274;16593439	-;-;-;-;-	4020
FBgn0011826	X	16554627	16560016	-	5390
FBgn0011742	X;X;X;X;X;X;X	16548290;16549478;16549977;16550250;16551475;16552340;16553344	16549412;16549906;16550186;16550465;16551489;16552450;16553968	-;-;-;-;-;-;-	2729
FBgn0030757	X;X;X;X;X;X	16542124;16545011;16545886;16546547;16546854;16547348	16544923;16545824;16546479;16546797;16547280;16547520	-;-;-;-;-;-	5059
FBgn0040775	2R;2R	9362574;9362836	9362781;9362906	-;-	279
FBgn0041150	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	4908581;4909315;4909476;4909678;4910083;4910469;4911581;4911723;4912672;4915047;4925829;4928194;4931914	4909254;4909408;4909623;4910025;4910412;4911512;4911671;4911867;4912778;4915502;4926350;4928393;4932384	-;-;-;-;-;-;-;-;-;-;-;-;-	4630
FBgn0033403	2R;2R;2R;2R	9309296;9317293;9350672;9351409	9312745;9321210;9351173;9351655	-;-;-;-	8117
FBgn0033250	2R;2R;2R;2R;2R;2R;2R;2R;2R	8009119;8010771;8011172;8011401;8011643;8011866;8012060;8012347;8013072	8010545;8011092;8011311;8011581;8011795;8012002;8012282;8012880;8013755	-;-;-;-;-;-;-;-;-	3801
FBgn0034072	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	16081176;16083450;16083683;16083946;16085164;16085564;16086045;16086931;16088305;16088452;16088683;16088907;16089092;16089571;16098128	16083393;16083611;16083883;16085096;16085489;16085620;16086293;16087725;16088365;16088535;16088825;16089038;16089286;16089892;16098564	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6533
FBgn0033155	2R;2R;2R;2R	7272275;7275086;7275414;7276739	7274889;7275357;7276672;7278101	-;-;-;-	5509
FBgn0025360	2R;2R;2R;2R;2R	8031283;8033305;8034291;8040984;8041193	8032244;8033423;8034540;8041116;8042529	+;+;+;+;+	2801
FBgn0031646	2L;2L;2L;2L	4903865;4904893;4905753;4906636	4904833;4904979;4905863;4906762	-;-;-;-	1294
FBgn0015000	2L;2L;2L;2L	4945579;4945902;4946071;4946907	4945681;4946013;4946221;4948324	+;+;+;+	1784
FBgn0031655	2L;2L;2L;2L;2L;2L;2L	4955509;4956408;4956958;4957178;4957408;4957752;4958008	4956349;4956898;4957108;4957342;4957690;4957946;4958292	+;+;+;+;+;+;+	2411
FBgn0031657	2L;2L	4969004;4969285	4969224;4970216	+;+	1153
FBgn0031662	2L;2L	4977312;4977748	4977685;4978567	+;+	1194
FBgn0033911	2R;2R	14198478;14200369	14200296;14201249	-;-	2700
FBgn0034071	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	16047648;16047984;16048132;16048337;16048493;16048754;16048984;16049204;16049326;16049487;16056526;16056926;16058455;16059818	16047922;16048066;16048278;16048429;16048695;16048919;16049146;16049261;16049409;16049619;16056625;16057577;16059745;16060835	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4466
FBgn0034479	2R;2R;2R;2R;2R;2R;2R	19979242;19980540;19980877;19982110;19982298;19982906;19983112	19979309;19980821;19981275;19982204;19982703;19983049;19984895	+;+;+;+;+;+;+	3178
FBgn0031651	2L;2L;2L;2L	4944256;4944475;4944927;4945192	4944416;4944864;4945080;4945361	-;-;-;-	875
FBgn0031652	2L;2L	4948206;4948898	4948771;4949784	-;-	1453
FBgn0015834	2L;2L;2L	4966367;4967024;4967691	4966968;4967513;4967775	-;-;-	1177
FBgn0031661	2L;2L;2L	4975300;4976220;4976759	4976159;4976655;4977023	-;-;-	1561
FBgn0031663	2L;2L;2L	4978484;4978776;4979145	4978707;4979085;4979379	-;-;-	769
FBgn0031664	2L	4979513	4981592	-	2080
FBgn0031659	2L	4971702	4973687	+	1986
FBgn0037028	3L;3L	20813353;20815903	20815804;20816075	-;-	2625
FBgn0031660	2L;2L;2L	4973976;4974277;4975153	4974157;4975100;4975316	+;+;+	1170
FBgn0061515	3L;3L;3L	14029579;14030807;14031308	14030420;14031230;14031706	-;-;-	1665
FBgn0052580	X;X;X;X;X;X;X;X;X;X;X;X;X;X	16009114;16009247;16010108;16016483;16019640;16030305;16031490;16034096;16049413;16052466;16053608;16057774;16059982;16061286	16009185;16009602;16015691;16019347;16030133;16031424;16034043;16048676;16052389;16053434;16057628;16059927;16060530;16061722	+;+;+;+;+;+;+;+;+;+;+;+;+;+	48733
FBgn0051961	2L;2L	4186250;4187567	4187499;4187793	-;-	1477
FBgn0053505	2R;2R;2R;2R;2R	14858845;14859256;14859450;14859709;14860586	14859199;14859392;14859647;14860535;14860758	-;-;-;-;-	1690
FBgn0053506	2R;2R;2R	14857447;14857908;14858424	14857845;14858364;14858640	-;-;-	1073
FBgn0053509	2L;2L;2L	21084605;21085643;21086225	21085588;21085781;21086506	-;-;-	1405
FBgn0053512	3R;3R;3R;3R;3R;3R	11533483;11535583;11535969;11539101;11539907;11542067	11534774;11535840;11536179;11539255;11540101;11542949	-;-;-;-;-;-	2994
FBgn0053513	X;X;X;X;X;X;X;X;X;X;X;X;X;X	1483625;1488423;1489668;1490541;1490754;1490969;1491356;1492160;1492491;1496094;1496348;1501194;1501797;1507430	1486591;1489553;1490175;1490692;1490906;1491258;1491949;1492310;1493262;1496196;1496383;1501286;1502502;1507809	-;-;-;-;-;-;-;-;-;-;-;-;-;-	8036
FBgn0053516	2L;2L;2L;2L;2L;2L;2L;2L	2058790;2061810;2061975;2065611;2066520;2066742;2094413;2109726	2059983;2061907;2062299;2065743;2066597;2067160;2095172;2109878	-;-;-;-;-;-;-;-	3160
FBgn0053519	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	23995543;23995881;23996058;23997772;23997967;23998744;23999399;23999695;23999936;24000131;24000362;24000597;24000958;24002009;24002261;24002451;24002728;24003048;24003472;24003776;24003957;24004789;24005023;24005261;24005422;24006394;24007016;24007265;24007461;24007610;24007834;24008701;24010923;24011954;24012268;24012489;24012724;24012914;24013853	23995822;23995986;23997709;23997904;23998667;23999325;23999636;23999880;24000076;24000300;24000543;24000898;24001950;24002201;24002400;24002662;24002984;24003416;24003711;24003890;24004123;24004863;24005204;24005366;24006282;24006954;24007200;24007400;24007546;24007766;24008145;24010783;24011015;24012022;24012433;24012659;24012855;24013038;24014254	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13261
FBgn0053523	3L;3L;3L;3L;3L;3L;3L;3L;3L;3L	5923862;5924837;5925401;5926737;5926871;5927782;5928224;5928416;5928704;5929104	5924195;5925322;5925624;5926834;5927066;5927907;5928296;5928640;5929039;5930120	+;+;+;+;+;+;+;+;+;+	3115
FBgn0053527	2R;2R	24577566;24577934	24577881;24578143	-;-	526
FBgn0053531	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	6253123;6272750;6278679;6289765;6290544;6291006;6291245;6293485;6296604;6297024;6297589;6301154;6303095;6303758;6320228;6321759;6321971	6253329;6273126;6278784;6289996;6290691;6291185;6291684;6293692;6296741;6297235;6297736;6301682;6303343;6303850;6320390;6321908;6323466	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5076
FBgn0053543	2L;2L;2L;2L;2L;2L;2L	1997102;1998232;2000934;2001380;2002173;2002669;2005561	1997958;1998720;2001086;2001511;2002313;2002920;2006313	-;-;-;-;-;-;-	2777
FBgn0053526	2L;2L;2L;2L;2L	870465;871641;871806;872208;875038	871576;871738;872080;874149;877038	+;+;+;+;+	5428
FBgn0053547	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	17872748;17875784;17877259;17877489;17878778;17881178;17881776;17882101;17885604;17886149;17887421;17889595;17890461;17890661;17890894;17892101;17892540;17893905;17896461;17904947;17905646;17906064;17907987;17908631;17914954;17916139	17875545;17877198;17877426;17877666;17878997;17881427;17881901;17884682;17885947;17886541;17887543;17889780;17890595;17890798;17891507;17892406;17892786;17894902;17896528;17905550;17906002;17906189;17908191;17909655;17915164;17916578	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14257
FBgn0002183	3L;3L;3L;3L;3L;3L;3L;3L;3L	1871574;1872354;1872582;1872800;1873117;1874041;1875287;1875652;1876110	1871917;1872470;1872735;1873062;1873983;1875218;1875586;1875915;1876312	-;-;-;-;-;-;-;-;-	3690
FBgn0030018	X;X;X;X;X;X;X;X;X	8170229;8173861;8174038;8174547;8174823;8175069;8175302;8176015;8176553	8173461;8173975;8174214;8174567;8174998;8175235;8175954;8176454;8177185	-;-;-;-;-;-;-;-;-	5615
FBgn0010263	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	2954762;2955380;2956911;2959147;2960690;2960895;2961215;2961739;2962272;2962586;2962955;2963225	2955313;2955507;2957264;2959520;2960839;2960991;2961672;2961996;2962286;2962865;2963132;2968434	+;+;+;+;+;+;+;+;+;+;+;+	8054
FBgn0052484	3L;3L	3047087;3048646	3048166;3050159	+;+	2594
FBgn0004648	X;X;X;X;X;X;X;X;X;X	496446;499281;499849;501985;502287;502836;504668;504916;506308;506599	497389;499450;500974;502220;502766;504319;504785;506242;506531;509072	+;+;+;+;+;+;+;+;+;+	8583
FBgn0020493	3R;3R;3R;3R;3R;3R;3R;3R	17054007;17054897;17057419;17064716;17064836;17068471;17068750;17068970	17054362;17055174;17058704;17064769;17064961;17068686;17068900;17070408	+;+;+;+;+;+;+;+	3906
FBgn0029723	X;X;X;X;X;X;X;X;X	4707916;4708748;4723178;4725022;4726236;4726427;4726875;4727359;4727623	4708168;4709010;4723567;4725194;4726352;4726714;4727101;4727562;4729487	+;+;+;+;+;+;+;+;+	3780
FBgn0001301	2L;2L;2L;2L;2L;2L	18129884;18131582;18132963;18133588;18135574;18137477	18131520;18132609;18133525;18134826;18135975;18138083	-;-;-;-;-;-	5476
FBgn0035331	3L;3L;3L;3L;3L	2322693;2323300;2338749;2342648;2343852	2322748;2323495;2338989;2343750;2345799	+;+;+;+;+	3544
FBgn0031689	2L;2L;2L;2L;2L;2L	5210460;5210751;5210954;5211191;5211881;5212213	5210695;5210889;5211061;5211821;5212150;5212445	+;+;+;+;+;+	1617
FBgn0053548	X;X;X;X	2205515;2207534;2212390;2212867	2206463;2208678;2212466;2213809	-;-;-;-	3114
FBgn0040726	2R;2R;2R;2R;2R;2R;2R;2R	20698483;20726045;20734170;20734318;20745785;20746006;20747425;20748326	20699270;20726211;20734247;20734450;20745904;20746102;20747522;20750442	+;+;+;+;+;+;+;+	3598
FBgn0053554	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	5177965;5180550;5183507;5184124;5185575;5193557;5194908;5195251;5197811;5198468;5201446;5203752;5204005;5204194;5210502;5212329;5217345;5241896;5242385;5245952;5250729	5178622;5181767;5183626;5184660;5188356;5193707;5195194;5196837;5198106;5199860;5202063;5203955;5204139;5204278;5210874;5212467;5217435;5242062;5242582;5246137;5251022	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11519
FBgn0053556	3L;3L;3L;3L;3L;3L;3L;3L;3L;3L;3L;3L	7094818;7111064;7111627;7115217;7117318;7117933;7118256;7119336;7119748;7120183;7120819;7121015	7095400;7111467;7111801;7115250;7117536;7118080;7119274;7119686;7120127;7120750;7120952;7123297	+;+;+;+;+;+;+;+;+;+;+;+	6298
FBgn0000575	3L;3L	749400;752272	750227;753492	+;+	2049
FBgn0038087	3R;3R;3R;3R;3R;3R;3R	12840560;12842602;12842979;12843177;12843444;12846979;12847954	12842321;12842857;12843112;12843385;12843597;12847193;12848419	-;-;-;-;-;-;-	3196
FBgn0010317	3L;3L;3L;3L	3466428;3466686;3466950;3467426	3466622;3466872;3467372;3468098	+;+;+;+	1478
FBgn0003231	2L;2L;2L	19542468;19543620;19545157	19542988;19545101;19545548	+;+;+	2395
FBgn0000625	3L;3L;3L;3L;3L	12462537;12464314;12465023;12465844;12467486	12464102;12464897;12465163;12466164;12468021	-;-;-;-;-	3148
FBgn0003984	3L;3L;3L;3L;3L;3L;3L	5813338;5813691;5816647;5817535;5817898;5818109;5842208	5813474;5814866;5816700;5817643;5818025;5818286;5845664	-;-;-;-;-;-;-	5239
FBgn0010894	3L;3L	5559470;5560746	5560681;5561598	-;-	2065
FBgn0003429	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	24662491;24664364;24664897;24668146;24669541;24674411;24674770;24675167;24675633;24677244;24679486;24682308;24687187;24687800;24689322;24691460;24691778;24692204;24693772;24694957;24695341;24696091;24698198;24699376;24700706;24702088;24703021;24703118;24703891;24705552;24705797;24706537;24706777;24706997;24707273	24662563;24664795;24665424;24668909;24669879;24674569;24674881;24675318;24675800;24677335;24679577;24682399;24687297;24687905;24689427;24691612;24691933;24692316;24693884;24695115;24695417;24696126;24698269;24699426;24700729;24702162;24703053;24703307;24703956;24705729;24706304;24706673;24706919;24707216;24711595	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10153
FBgn0004587	3R;3R;3R;3R;3R;3R;3R	13661311;13662161;13662297;13662955;13665590;13666084;13666356	13661859;13662231;13662404;13665526;13665901;13666248;13666891	+;+;+;+;+;+;+	4313
FBgn0004882	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	23260610;23266280;23266721;23266962;23267821;23268063;23268384;23269122;23269751;23270464;23279059;23280431	23266225;23266665;23266901;23267680;23267912;23268294;23268520;23269603;23270310;23270683;23279558;23280856	-;-;-;-;-;-;-;-;-;-;-;-	9551
FBgn0005561	4;4;4;4;4;4;4;4;4;4;4;4;4;4	1088798;1092259;1095576;1095794;1098525;1101934;1103535;1106152;1107699;1108098;1108474;1109109;1110781;1111288	1089062;1092628;1095716;1095832;1098958;1102099;1103732;1106597;1107790;1108344;1108572;1109600;1110974;1113317	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5213
FBgn0033170	2R;2R	7442864;7443443	7443382;7443827	+;+	904
FBgn0039927	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1126602;1126809;1127002;1128489;1129435;1129566;1130025;1130383;1131193;1131489;1131701;1132085;1133875;1134152;1135539	1126752;1126941;1127415;1128655;1129488;1129730;1130183;1130586;1131396;1131593;1131958;1132573;1134072;1135484;1137919	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6415
FBgn0027339	3L;3L;3L;3L;3L;3L;3L;3L	22789233;22798799;22799251;22799941;22800850;22824041;22831937;22835169	22798481;22799202;22799448;22800784;22801741;22824835;22833799;22835194	-;-;-;-;-;-;-;-	14271
FBgn0034990	2R;2R;2R;2R	24202091;24202735;24206230;24208144	24202646;24205969;24206940;24208203	-;-;-;-	4562
FBgn0041164	3L;3L;3L;3L;3L;3L;3L;3L	3461317;3461541;3462104;3462862;3463357;3464017;3465049;3465909	3461462;3461670;3462784;3463290;3463959;3464979;3465852;3466303	+;+;+;+;+;+;+;+	4151
FBgn0037313	3R;3R;3R;3R	5355092;5355327;5355834;5356003	5355253;5355550;5355942;5356748	+;+;+;+	1241
FBgn0041707	3R;3R	5376780;5376999	5376950;5377975	+;+	1148
FBgn0002774	2R;2R;2R;2R;2R	5974857;5977987;5979319;5979701;5980619	5977468;5978677;5979637;5980559;5980778	-;-;-;-;-	4641
FBgn0002873	X;X;X;X;X;X;X;X;X;X;X;X	14247732;14248225;14248536;14249191;14249375;14249645;14255013;14255459;14255612;14256001;14256485;14256977	14248158;14248399;14249120;14249297;14249482;14254288;14255252;14255554;14255934;14256298;14256757;14258595	+;+;+;+;+;+;+;+;+;+;+;+	8895
FBgn0004102	X;X;X;X;X	8630159;8640360;8642466;8643103;8650094	8633962;8640532;8642867;8643176;8650681	-;-;-;-;-	5041
FBgn0033807	2R;2R;2R;2R;2R	13212405;13213023;13213751;13214071;13214419	13212962;13213436;13213931;13214111;13214496	-;-;-;-;-	1272
FBgn0003124	3L;3L;3L;3L;3L	20309654;20311049;20311335;20312183;20312679	20310408;20311273;20312117;20312611;20313466	+;+;+;+;+	2980
FBgn0000303	3R;3R;3R;3R;3R;3R;3R;3R	18705501;18723988;18725133;18728783;18729609;18730110;18730323;18730730	18706106;18724067;18725324;18729544;18730016;18730256;18730523;18732344	+;+;+;+;+;+;+;+	4011
FBgn0004606	3R;3R;3R;3R;3R;3R	30765926;30773573;30773987;30783258;30783943;30786010	30766380;30773736;30774697;30783650;30785941;30789202	+;+;+;+;+;+	6915
FBgn0033195	2R;2R;2R;2R	7587773;7589267;7589595;7589934	7588971;7589534;7589708;7590109	-;-;-;-	1757
FBgn0028572	2L;2L;2L;2L;2L;2L;2L;2L;2L	5060815;5062741;5064372;5066012;5066870;5067309;5068296;5069127;5070097	5060990;5063210;5064581;5066167;5067249;5068227;5068803;5069219;5070750	+;+;+;+;+;+;+;+;+	3566
FBgn0038651	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	18750436;18750944;18751578;18751962;18752731;18753543;18754062;18755099;18755341;18755542;18756819;18757105;18757628;18757968;18758741	18750884;18751519;18751898;18752670;18753487;18753999;18755029;18755276;18755484;18756756;18757046;18757565;18757913;18758692;18758873	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7607
FBgn0004607	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	501810;503851;515582;521473;524331;524904;529693;531156;531436;532783;532983;536966;537175;538538;538659	501857;504138;515631;523104;524512;526520;531093;531379;531783;532926;535880;537075;538373;538604;540874	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12424
FBgn0005558	4;4;4;4;4;4;4;4;4;4	697689;704651;707429;710917;712493;713858;717127;717654;719274;720322	697883;705273;707671;711082;712673;714512;717300;717929;719628;721173	+;+;+;+;+;+;+;+;+;+	3720
FBgn0037317	3R;3R;3R;3R	5375022;5375278;5375987;5376157	5375216;5375924;5376100;5376460	+;+;+;+	1260
FBgn0023416	2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L;2L	21632587;21633266;21633374;21634420;21634726;21635092;21635620;21637659;21637958;21638230;21639241;21639642;21640728;21641073;21641249;21641379;21643170;21643764;21646595	21632705;21633305;21633915;21634609;21635035;21635210;21635731;21637786;21638116;21638368;21639620;21640005;21641013;21641145;21641324;21641604;21643252;21644219;21647964	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5172
FBgn0000259	X;X;X;X;X;X;X;X;X;X;X	11792533;11792714;11792879;11793443;11793798;11793974;11794819;11795105;11795601;11798295;11799993	11792686;11792745;11793279;11793518;11793900;11794165;11795008;11795186;11797924;11798850;11801587	+;+;+;+;+;+;+;+;+;+;+	5705
FBgn0003741	3L;3L;3L	16590059;16590352;16591004	16590294;16590930;16591050	-;-;-	862
FBgn0028841	2L;2L	16365903;16366635	16366570;16367039	+;+	1073
FBgn0000241	2R;2R;2R;2R;2R;2R;2R;2R;2R	23527805;23528500;23529009;23529166;23529339;23529592;23537149;23537764;23538085	23528440;23528956;23529110;23529271;23529533;23529626;23537707;23537996;23538499	-;-;-;-;-;-;-;-;-	2738
FBgn0011655	3R;3R;3R;3R;3R;3R;3R;3R;3R	31611046;31611979;31612334;31612887;31613260;31613935;31614279;31614504;31614690	31611744;31612247;31612688;31613108;31613874;31614217;31614447;31614630;31615375	+;+;+;+;+;+;+;+;+	3425
FBgn0004907	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	10099677;10101036;10103122;10104115;10104256;10104717;10104941;10105702;10105941;10106289;10106634;10107467	10099850;10101177;10103141;10104183;10104409;10104830;10105067;10105825;10106104;10106452;10106797;10109687	+;+;+;+;+;+;+;+;+;+;+;+	3637
FBgn0039914	4;4	623219;624772	624663;626031	-;-	2705
FBgn0004369	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	29377646;29382956;29416956;29419308;29419855;29424432;29426903;29431126;29457570;29461813;29471651;29473160;29474732;29476264;29479316;29481467;29481868;29482274;29482517;29483130;29483469	29378024;29383391;29417125;29419434;29419978;29424613;29427090;29431240;29457641;29462575;29471899;29473440;29474848;29476403;29479825;29481756;29482208;29482440;29483072;29483398;29487131	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9139
FBgn0010114	2R;2R;2R;2R;2R;2R;2R;2R	9227785;9229598;9230312;9231106;9231748;9232508;9234445;9246765	9229276;9230086;9230648;9231180;9231845;9232732;9235575;9247249	-;-;-;-;-;-;-;-	4332
FBgn0029676	X;X;X;X	3789969;3790417;3790756;3791477	3790336;3790538;3791402;3792477	+;+;+;+	2138
FBgn0026059	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	16068523;16069675;16070098;16070544;16071745;16072689;16073034;16074418;16077114;16077403;16082864;16087765;16088021;16088685;16089654;16090418;16090668;16092845;16095805;16096255;16097136;16098631	16069346;16070036;16070481;16071502;16072054;16072967;16073402;16076164;16077341;16077537;16083070;16087959;16088624;16089595;16089820;16090604;16091090;16094150;16095948;16097073;16097620;16098761	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11176
FBgn0005427	X;X;X;X;X;X;X;X;X;X	268509;269431;269592;271290;271488;271802;272422;273183;273461;279185	269366;269468;271209;271425;271613;271875;272883;273392;276377;279718	-;-;-;-;-;-;-;-;-;-	6973
FBgn0000053	2L;2L;2L;2L;2L;2L;2L	7014623;7016437;7017545;7018087;7018431;7019135;7023529	7016374;7017486;7017966;7018374;7019080;7019382;7023898	-;-;-;-;-;-;-	4780
FBgn0005592	3L;3L;3L;3L;3L	14075772;14075876;14077065;14079455;14082274	14075813;14076048;14077127;14082188;14083229	+;+;+;+;+	3968
FBgn0000567	3L;3L;3L;3L;3L;3L;3L;3L;3L	17558672;17564606;17565357;17574793;17597460;17598187;17598821;17602675;17618651	17562758;17564860;17565725;17576626;17597967;17598468;17599433;17603383;17619325	-;-;-;-;-;-;-;-;-	9332
FBgn0052333	3L;3L;3L;3L;3L;3L;3L;3L;3L;3L	1275956;1283650;1284788;1287932;1289999;1290286;1290530;1293518;1293798;1294093	1276294;1283812;1285110;1288331;1290028;1290473;1293458;1293729;1294038;1295699	+;+;+;+;+;+;+;+;+;+	6432
FBgn0041605	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	4280221;4280385;4281705;4282164;4282625;4284226;4288072;4291738;4294862;4295120;4295568	4280356;4280822;4282003;4282482;4282834;4284406;4288083;4292269;4294944;4295286;4304604	+;+;+;+;+;+;+;+;+;+;+	11414
FBgn0052576	X;X;X;X	16285953;16287958;16288225;16288383	16287239;16288136;16288316;16288533	-;-;-;-	1709
FBgn0053111	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	23801714;23805760;23806311;23806626;23806883;23807190;23807574;23807824;23818227;23818683;23818981	23802241;23806120;23806537;23806821;23806995;23807508;23807760;23808029;23818611;23818819;23819237	-;-;-;-;-;-;-;-;-;-;-	2916
FBgn0039396	3R;3R;3R;3R;3R;3R;3R	25923499;25924685;25925055;25925507;25925768;25941257;25955654	25924593;25924970;25925315;25925704;25925903;25941649;25956270	-;-;-;-;-;-;-	2986
FBgn0053558	2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R;2R	6924687;6926473;6926670;6927390;6929073;6929823;6930249;6931063;6933124;6934066;6934806;6935215;6935423;6935741;6938385;6939282;6962880;6970893	6926298;6926591;6926821;6928836;6929273;6930098;6930370;6932697;6933927;6934180;6935108;6935295;6935680;6936195;6938458;6939343;6963095;6971637	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8677
FBgn0014141	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	17091533;17092287;17094376;17094609;17095364;17098038;17098562;17100988;17101352;17104256;17104457;17105009;17106280;17106954;17107399;17108748;17109708;17110214;17110610;17116941;17118737;17122398;17125213	17092224;17094318;17094545;17094749;17095547;17098358;17098807;17101078;17101432;17104391;17104909;17105813;17106846;17107340;17108691;17108839;17109722;17110549;17110754;17117301;17119154;17122682;17125389	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9428
FBgn0010382	2L;2L;2L;2L;2L;2L;2L;2L;2L	15727581;15729274;15729566;15731002;15737628;15740772;15745392;15746455;15747833	15729156;15729499;15730836;15731784;15737964;15740899;15745643;15746610;15748150	-;-;-;-;-;-;-;-;-	5047
FBgn0004575	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	10190689;10193860;10195351;10195716;10196618;10196841;10204005;10204212;10214972;10215532;10217063;10217290;10219779	10190894;10194013;10195427;10196047;10196781;10196912;10204148;10204316;10215189;10215628;10217230;10218691;10222442	+;+;+;+;+;+;+;+;+;+;+;+;+	5803
FBgn0000042	X;X;X	5900861;5901982;5902690	5901013;5902096;5905399	+;+;+	2978
FBgn0034976	2R;2R;2R;2R;2R;2R;2R;2R	24107087;24108701;24108992;24109169;24109902;24110159;24110833;24114005	24108651;24108934;24109103;24109838;24110100;24110766;24113271;24114292	-;-;-;-;-;-;-;-	6115
FBgn0034982	2R;2R;2R;2R;2R;2R	24135180;24135430;24136526;24136768;24137399;24137861	24135367;24136467;24136707;24137335;24137771;24138050	-;-;-;-;-;-	2539
FBgn0020385	3R;3R;3R;3R;3R;3R;3R	10696534;10697155;10699657;10699885;10700219;10701002;10702906	10696802;10697268;10699822;10700095;10700690;10702839;10703316	+;+;+;+;+;+;+	3481
FBgn0037822	3R;3R	10696647;10697626	10696802;10698976	+;+	1507
FBgn0038295	3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R;3R	15150375;15151865;15171634;15186022;15186313;15186647;15186919;15187098;15187358;15187647;15187822;15188026;15188231;15189345;15189640;15189998	15150468;15152108;15171691;15186247;15186592;15186854;15187042;15187230;15187584;15187751;15187968;15188176;15189293;15189578;15189924;15191242	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4824
FBgn0004227	X;X;X;X	16361569;16363358;16365205;16365587	16362054;16364630;16365513;16371547	+;+;+;+	8029
